"Y","","","trim430","trim500","trim550","trimother","isOneOwnert","colorother","colorSilver","colorWhite","displacement5.5","displacementother","",""
43995,36858,2008,0,0,1,0,0,0,1,0,1,0,0,0
44995,46883,2012,0,0,1,0,0,0,0,0,0,0,1,1
25999,108759,2007,0,0,1,0,0,0,0,1,1,0,0,0
33880,35187,2007,0,0,1,0,0,0,0,0,1,0,1,0
34895,48153,2007,0,0,1,0,0,0,0,0,1,0,1,0
5995,121748,2002,0,1,0,0,0,1,0,0,0,1,0,0
21900,115280,2007,0,0,1,0,0,1,0,0,1,0,0,0
41995,36370,2007,0,0,0,1,0,0,0,0,1,0,1,0
39882,76996,2008,0,0,0,1,0,0,0,0,0,1,1,0
47995,43568,2011,0,0,1,0,0,0,0,0,1,0,1,0
26955,79151,2007,0,0,1,0,0,0,0,0,1,0,1,0
53995,24905,2013,0,0,1,0,0,0,0,0,0,0,1,1
31991,66262,2007,0,0,0,1,1,1,0,0,1,0,0,0
41900,50380,2010,0,0,1,0,0,0,0,0,1,0,1,0
63991,32823,2012,0,0,1,0,1,0,0,1,0,0,0,1
36999,59959,2011,0,0,1,0,0,0,0,0,1,0,1,0
29915,43768,2007,0,0,1,0,0,0,1,0,1,0,0,0
11950,81672,2004,1,0,0,0,0,0,0,0,0,1,1,0
27998,46874,2007,0,0,1,0,1,0,0,1,1,0,0,0
26950,80012,2007,0,0,1,0,0,0,0,0,1,0,1,0
11998,121297,2005,0,1,0,0,0,1,0,0,0,1,0,0
40988,76523,2009,0,0,0,1,1,0,0,0,0,1,1,0
5995,150467,2001,0,1,0,0,0,0,1,0,0,1,0,0
39989,25376,2011,0,0,0,1,0,0,1,0,0,1,0,0
37714,15320,2008,0,0,1,0,0,0,0,1,1,0,0,0
41995,45957,2011,0,0,1,0,0,0,0,0,1,0,1,0
34999,55280,2008,0,0,1,0,0,0,0,0,1,0,1,0
54995,18642,2011,0,0,1,0,0,0,1,0,1,0,0,0
8875,136514,2001,1,0,0,0,0,1,0,0,0,1,0,0
12900,127153,2001,1,0,0,0,0,0,1,0,0,1,0,0
39990,61799,2008,0,0,0,1,0,0,0,1,0,1,0,0
30980,73132,2007,0,0,1,0,0,0,0,0,1,0,1,0
43999,31343,2010,0,0,1,0,0,0,1,0,1,0,0,0
9700,139817,2001,0,1,0,0,0,0,0,0,0,1,1,0
24995,92211,2007,0,0,1,0,0,0,0,0,1,0,1,0
14995,80645,2006,0,0,0,1,0,1,0,0,0,1,0,0
24995,101327,2007,0,0,1,0,0,0,0,0,1,0,1,0
33900,43155,2008,0,0,1,0,1,0,1,0,1,0,0,0
6977,183472,2003,1,0,0,0,0,0,1,0,0,1,0,0
6600,99321,1995,0,1,0,0,0,1,0,0,0,1,0,0
31988,23143,2008,0,0,1,0,0,1,0,0,1,0,0,0
12999,76983,2005,1,0,0,0,0,0,0,0,0,1,1,0
24995,87684,2007,0,0,1,0,0,0,1,0,1,0,0,0
12995,134216,2003,0,0,0,1,0,1,0,0,0,1,0,0
42988,43036,2010,0,0,1,0,0,0,0,1,1,0,0,0
35000,63759,2010,0,0,0,1,0,1,0,0,0,1,0,0
12998,94379,2004,1,0,0,0,0,1,0,0,0,1,0,0
20800,126574,2008,0,0,1,0,0,0,1,0,1,0,0,0
68900,6422,2013,0,0,1,0,1,0,1,0,0,0,0,1
64995,7944,2013,0,0,1,0,0,1,0,0,0,0,0,1
4900,122623,2000,0,1,0,0,0,0,1,0,0,1,0,0
46900,36261,2011,0,0,1,0,1,0,1,0,1,0,0,0
36919,55329,2008,0,0,0,1,0,1,0,0,0,1,0,0
8995,89169,2002,1,0,0,0,0,0,1,0,0,1,0,0
10990,103475,2004,1,0,0,0,0,0,0,1,0,1,0,0
20999,86088,2007,0,0,1,0,0,0,1,0,1,0,0,0
49999,35499,2013,0,0,1,0,1,1,0,0,0,0,0,1
27997,61725,2007,0,0,1,0,0,0,0,0,1,0,1,0
19977,64016,2006,0,1,0,0,0,0,0,1,0,1,0,0
23495,106537,2008,0,0,1,0,0,1,0,0,1,0,0,0
32156,65855,2008,0,0,1,0,0,0,0,1,1,0,0,0
49995,26029,2012,0,0,1,0,0,0,1,0,0,0,0,1
24995,123370,2007,0,0,1,0,0,0,0,1,1,0,0,0
6995,125182,1999,0,1,0,0,0,1,0,0,0,1,0,0
42500,18803,2010,0,0,1,0,1,0,0,0,1,0,1,0
5838,189001,2000,1,0,0,0,0,0,1,0,0,1,0,0
74895,28414,2008,0,0,0,1,0,0,0,0,0,1,1,0
31988,77800,2009,0,0,1,0,0,0,0,0,1,0,1,0
40935,49725,2011,0,0,1,0,0,0,1,0,1,0,0,0
44501,52530,2010,0,0,1,0,0,0,1,0,1,0,0,0
62991,22576,2013,0,0,1,0,1,0,0,0,0,0,1,1
6995,169266,2000,0,1,0,0,0,0,0,1,0,1,0,0
35811,38051,2008,0,0,1,0,1,0,0,1,1,0,0,0
38908,20186,2007,0,0,1,0,1,1,0,0,1,0,0,0
37499,64012,2011,0,0,1,0,0,0,0,0,1,0,1,0
5999,129000,2002,0,1,0,0,0,0,1,0,0,1,0,0
39893,39957,2008,0,0,1,0,0,1,0,0,1,0,0,0
13995,70956,2004,0,1,0,0,0,0,0,0,0,1,1,0
39979,64135,2008,0,0,0,1,0,0,0,0,0,1,1,0
9999,128899,2003,1,0,0,0,0,0,1,0,0,1,0,0
59950,22364,2013,0,0,1,0,1,0,1,0,0,0,0,1
17855,65240,2005,0,1,0,0,0,0,1,0,0,1,0,0
34512,64332,2007,0,0,1,0,0,0,0,0,1,0,1,0
39900,48829,2009,0,0,1,0,0,0,0,1,1,0,0,0
40788,46968,2011,0,0,1,0,0,0,0,0,1,0,1,0
12999,126158,2002,1,0,0,0,0,0,0,0,0,1,1,0
54991,21432,2012,0,0,1,0,0,0,0,0,0,0,1,1
8999,147813,2002,0,1,0,0,0,0,0,0,0,1,1,0
27810,75032,2007,0,0,1,0,0,0,0,0,1,0,1,0
7990,124719,2001,0,1,0,0,0,0,1,0,0,1,0,0
2900,214858,1997,0,1,0,0,0,1,0,0,0,1,0,0
54999,15789,2012,0,0,1,0,0,0,0,0,0,0,1,1
9990,80227,2001,1,0,0,0,1,0,1,0,0,1,0,0
59993,27788,2013,0,0,1,0,1,0,0,0,0,0,1,1
37611,48732,2008,0,0,1,0,0,0,0,1,1,0,0,0
14990,58225,2003,1,0,0,0,0,0,0,0,0,1,1,0
39995,49263,2010,0,0,1,0,0,0,1,0,1,0,0,0
11988,101567,2005,1,0,0,0,0,0,1,0,0,1,0,0
31990,62988,2007,0,0,0,1,0,1,0,0,1,0,0,0
34991,47675,2008,0,0,1,0,0,0,0,0,1,0,1,0
62900,15404,2012,0,0,1,0,0,1,0,0,0,0,0,1
69961,27106,2013,0,0,1,0,1,0,0,0,0,0,1,1
44995,38911,2011,0,0,1,0,0,0,0,0,1,0,1,0
7995,103056,2000,0,1,0,0,0,0,0,0,0,1,1,0
79995,27854,2012,0,0,0,1,0,0,0,0,1,0,1,0
35981,63097,2008,0,0,1,0,0,0,1,0,1,0,0,0
23997,71583,2007,0,0,1,0,0,0,0,0,1,0,1,0
57700,29047,2010,0,0,0,1,1,0,0,1,0,1,0,0
50995,40134,2012,0,0,1,0,0,0,1,0,0,0,0,1
24750,96024,2008,0,0,1,0,0,0,1,0,1,0,0,0
39999,54557,2011,0,0,1,0,0,0,0,0,1,0,1,0
9995,145000,2004,1,0,0,0,0,0,0,0,0,1,1,0
27995,105899,2007,0,0,1,0,0,1,0,0,1,0,0,0
11495,96530,2004,0,1,0,0,0,0,1,0,0,1,0,0
47995,55449,2009,0,0,0,1,0,0,0,0,0,1,1,0
38000,40053,2009,0,0,1,0,0,1,0,0,1,0,0,0
27777,79061,2007,0,0,1,0,1,0,1,0,1,0,0,0
44995,43223,2012,0,0,1,0,0,1,0,0,0,0,0,1
4995,252559,2002,1,0,0,0,0,0,1,0,0,1,0,0
36999,40613,2010,0,0,1,0,0,0,1,0,1,0,0,0
11950,97742,2001,0,0,0,1,0,0,0,0,0,1,1,0
59995,12841,2013,0,0,1,0,0,0,0,0,0,0,1,1
34895,65411,2009,0,0,1,0,0,0,0,0,1,0,1,0
10989,53688,2002,1,0,0,0,0,0,1,0,0,1,0,0
4900,122724,1996,0,0,0,1,0,0,0,1,0,1,0,0
68900,12097,2013,0,0,1,0,0,0,0,0,0,0,1,1
33966,84552,2009,0,0,1,0,0,0,0,1,1,0,0,0
40995,29999,2011,0,0,1,0,0,0,0,0,1,0,1,0
43995,48300,2010,0,0,1,0,0,1,0,0,1,0,0,0
1999,194000,2002,1,0,0,0,0,1,0,0,0,1,0,0
34000,77285,2008,0,0,1,0,0,0,0,0,1,0,1,0
73995,4171,2010,0,0,0,1,0,1,0,0,1,0,0,0
29900,76702,2007,0,0,1,0,0,0,0,0,1,0,1,0
15998,97232,2006,1,0,0,0,0,1,0,0,0,1,0,0
29880,89636,2008,0,0,1,0,0,0,0,1,1,0,0,0
49981,36052,2007,0,0,0,1,1,1,0,0,0,1,0,0
16988,99920,2003,0,0,0,1,0,0,1,0,0,1,0,0
6900,106022,2000,1,0,0,0,0,0,0,0,0,1,1,0
31995,84223,2008,0,0,1,0,0,0,0,0,1,0,1,0
4699,138290,1997,0,0,0,1,0,0,0,1,0,1,0,0
20495,127321,2007,0,0,1,0,0,1,0,0,1,0,0,0
69295,17200,2013,0,0,1,0,0,0,0,1,0,0,0,1
14900,182752,2004,1,0,0,0,0,0,0,0,0,1,1,0
8977,155926,2006,0,1,0,0,0,1,0,0,0,1,0,0
20994,107708,2007,0,0,1,0,0,0,1,0,1,0,0,0
16999,68513,2006,1,0,0,0,1,0,0,0,0,1,1,0
39995,54438,2011,0,0,1,0,1,0,0,0,1,0,1,0
15799,82901,2003,0,0,0,1,0,1,0,0,0,1,0,0
18988,78537,2004,0,0,0,1,0,0,0,0,1,0,1,0
25995,87614,2008,0,0,1,0,0,0,0,0,1,0,1,0
35994,50129,2008,0,0,1,0,0,0,0,0,1,0,1,0
33994,68447,2009,0,0,1,0,0,0,0,1,1,0,0,0
51888,59444,2010,0,0,0,1,0,0,0,0,0,1,1,0
8900,42583,1999,0,1,0,0,0,1,0,0,0,1,0,0
43999,35307,2011,0,0,1,0,0,0,0,1,1,0,0,0
15995,81011,2004,0,1,0,0,0,0,1,0,0,1,0,0
54999,20454,2012,0,0,1,0,1,0,0,1,0,0,0,1
43995,15877,2011,0,0,1,0,0,1,0,0,1,0,0,0
51998,48341,2012,0,0,1,0,0,0,0,0,0,0,1,1
38499,55363,2010,0,0,1,0,0,0,0,0,1,0,1,0
24991,64770,2007,0,0,1,0,1,0,1,0,1,0,0,0
39900,29132,2011,0,0,1,0,0,0,0,0,1,0,1,0
36995,40549,2007,0,0,1,0,0,1,0,0,1,0,0,0
18990,101078,2006,0,0,0,1,0,0,1,0,0,1,0,0
29988,67874,2007,0,0,1,0,1,0,0,0,1,0,1,0
4990,150503,2000,0,1,0,0,0,0,0,1,0,1,0,0
5500,169065,2000,1,0,0,0,0,1,0,0,0,1,0,0
65998,41435,2012,0,0,1,0,0,0,0,0,0,0,1,1
34995,45033,2007,0,0,1,0,0,0,0,1,1,0,0,0
45495,38175,2011,0,0,1,0,1,0,0,0,1,0,1,0
8995,144000,2002,0,0,0,1,0,0,0,0,0,1,1,0
55000,13704,2012,0,0,1,0,0,0,0,0,0,0,1,1
19999,53881,2004,0,0,0,1,0,1,0,0,0,1,0,0
5900,144645,2001,1,0,0,0,0,0,1,0,0,1,0,0
76995,23334,2013,0,0,1,0,1,0,0,1,0,0,0,1
12888,111971,2004,0,1,0,0,0,0,0,0,0,1,1,0
30700,79286,2008,0,0,1,0,1,0,0,0,1,0,1,0
37653,54160,2009,0,0,1,0,0,0,0,0,1,0,1,0
6480,132171,1997,0,0,0,1,0,0,1,0,0,1,0,0
43291,63654,2010,0,0,1,0,0,0,0,1,1,0,0,0
28995,76306,2007,0,0,1,0,0,0,0,0,1,0,1,0
14990,103577,2006,0,1,0,0,0,0,0,1,0,1,0,0
36478,74735,2008,0,0,0,1,0,0,0,1,0,1,0,0
29900,40362,2007,0,0,1,0,1,0,1,0,1,0,0,0
45991,38500,2010,0,0,1,0,0,0,0,1,1,0,0,0
7990,151939,2002,0,1,0,0,0,0,1,0,0,1,0,0
57999,12974,2012,0,0,0,1,0,1,0,0,0,1,0,0
55950,19998,2012,0,0,1,0,1,0,0,0,0,0,1,1
55989,40795,2012,0,0,1,0,0,0,1,0,0,0,0,1
38895,45712,2011,0,0,1,0,0,0,0,0,1,0,1,0
16999,71000,2004,0,1,0,0,0,1,0,0,0,1,0,0
13990,111000,2004,0,0,0,1,0,0,0,0,0,1,1,0
40999,48504,2012,0,0,1,0,1,0,1,0,0,0,0,1
26975,74062,2008,0,0,1,0,1,0,0,0,1,0,1,0
24495,78951,2007,0,0,1,0,0,1,0,0,1,0,0,0
10988,112548,2003,0,1,0,0,0,0,1,0,0,1,0,0
59995,24440,2013,0,0,1,0,0,0,0,0,0,0,1,1
28999,82172,2008,0,0,1,0,0,0,0,1,1,0,0,0
7995,104350,2003,1,0,0,0,0,0,0,0,0,1,1,0
5995,129884,2001,1,0,0,0,0,1,0,0,0,1,0,0
12500,111811,2003,0,0,0,1,0,0,1,0,0,1,0,0
34965,70180,2008,0,0,1,0,0,1,0,0,1,0,0,0
25999,110490,2008,0,0,1,0,0,0,0,1,1,0,0,0
25000,129481,2007,0,0,1,0,0,0,1,0,1,0,0,0
32995,79070,2008,0,0,1,0,0,0,0,1,1,0,0,0
8995,209246,2005,0,0,0,1,0,0,1,0,0,1,0,0
52990,24369,2012,0,0,1,0,0,0,1,0,0,0,0,1
56999,35494,2010,0,0,0,1,1,0,1,0,0,1,0,0
59931,31111,2012,0,0,1,0,0,0,0,0,0,0,1,1
13495,95089,2004,0,1,0,0,0,0,0,0,0,1,1,0
8991,92138,1995,0,1,0,0,0,0,0,0,0,1,1,0
6300,155501,2001,1,0,0,0,0,0,0,0,0,1,1,0
63949,14370,2013,0,0,1,0,0,0,0,0,0,0,1,1
29991,69564,2008,0,0,1,0,0,0,0,0,1,0,1,0
7999,125600,2004,1,0,0,0,0,0,0,0,0,1,1,0
29991,65499,2008,0,0,1,0,0,1,0,0,1,0,0,0
31999,70954,2008,0,0,1,0,1,0,0,1,1,0,0,0
44900,53850,2012,0,0,1,0,0,0,0,0,0,0,1,1
10980,153001,2006,0,0,0,1,0,0,0,0,0,1,1,0
39988,27007,2010,0,0,0,1,0,1,0,0,0,1,0,0
49995,17027,2010,0,0,1,0,0,0,0,0,1,0,1,0
25999,39926,2007,0,0,1,0,0,0,0,0,1,0,1,0
27890,75675,2007,0,0,1,0,1,1,0,0,1,0,0,0
39491,60390,2010,0,0,1,0,0,1,0,0,1,0,0,0
33900,36169,2007,0,0,1,0,0,0,0,0,1,0,1,0
8987,140927,2002,0,1,0,0,0,0,1,0,0,1,0,0
7990,83770,2003,1,0,0,0,0,0,1,0,0,1,0,0
11900,138939,2006,1,0,0,0,0,0,0,1,0,1,0,0
40995,18505,2011,0,0,0,1,0,0,1,0,0,1,0,0
5995,163027,1995,0,0,0,1,0,1,0,0,0,1,0,0
28995,49419,2007,0,0,1,0,1,0,0,0,1,0,1,0
8500,85506,2001,0,1,0,0,0,0,1,0,0,1,0,0
6950,140636,2004,1,0,0,0,0,1,0,0,0,1,0,0
28995,73765,2007,0,0,1,0,0,0,0,1,1,0,0,0
62888,23960,2012,0,0,1,0,0,0,0,0,0,0,1,1
9995,120074,2004,1,0,0,0,0,0,0,0,0,1,1,0
66995,14656,2013,0,0,1,0,0,0,0,1,0,0,0,1
34991,64956,2007,0,0,0,1,0,0,0,0,1,0,1,0
35991,52369,2008,0,0,1,0,0,0,0,0,1,0,1,0
47900,40270,2012,0,0,1,0,0,0,0,0,0,0,1,1
26000,93001,2007,0,0,1,0,0,1,0,0,1,0,0,0
56900,27149,2008,0,0,0,1,0,0,0,0,0,1,1,0
43995,59191,2010,0,0,1,0,0,0,1,0,1,0,0,0
26489,91896,2008,0,0,1,0,0,1,0,0,1,0,0,0
35885,105411,2009,0,0,0,1,0,1,0,0,0,1,0,0
28995,87651,2007,0,0,1,0,1,0,0,0,1,0,1,0
42950,46648,2010,0,0,1,0,1,0,0,0,1,0,1,0
64987,36885,2010,0,0,0,1,0,0,0,0,1,0,1,0
44777,52616,2012,0,0,1,0,0,0,0,0,0,0,1,1
9995,94661,2004,1,0,0,0,0,0,1,0,0,1,0,0
22890,97340,2007,0,0,1,0,0,0,0,0,1,0,1,0
21987,109899,2007,0,0,1,0,0,0,0,0,1,0,1,0
3950,194500,1995,0,0,0,1,0,0,1,0,0,1,0,0
8500,81464,2000,0,1,0,0,0,0,0,0,0,1,1,0
48995,48731,2009,0,0,0,1,0,0,0,0,0,1,1,0
4995,123444,1998,0,0,0,1,0,0,0,0,0,1,1,0
45995,31997,2010,0,0,1,0,1,0,1,0,1,0,0,0
58995,26661,2012,0,0,1,0,0,0,0,1,0,0,0,1
13900,99614,2006,1,0,0,0,0,1,0,0,0,1,0,0
2700,255419,1998,0,0,0,1,0,0,0,0,0,1,1,0
55998,13390,2012,0,0,1,0,0,0,0,0,0,0,1,1
11980,100970,2002,1,0,0,0,0,0,1,0,0,1,0,0
26900,112810,2007,0,0,1,0,0,0,0,0,1,0,1,0
7995,103839,2002,1,0,0,0,0,1,0,0,0,1,0,0
33995,50735,2007,0,0,1,0,0,1,0,0,1,0,0,0
11980,77906,2000,0,1,0,0,0,0,0,0,0,1,1,0
28995,81034,2008,0,0,1,0,0,1,0,0,1,0,0,0
7994,62465,2001,1,0,0,0,0,0,1,0,0,1,0,0
10991,84283,2001,1,0,0,0,0,1,0,0,0,1,0,0
48999,31635,2007,0,0,1,0,0,0,0,1,1,0,0,0
18995,64063,2006,0,1,0,0,1,0,0,1,0,1,0,0
39991,83869,2009,0,0,1,0,0,0,1,0,1,0,0,0
32777,80113,2010,0,0,1,0,0,0,1,0,1,0,0,0
59977,22243,2011,0,0,1,0,1,0,0,1,1,0,0,0
28977,81074,2008,0,0,1,0,0,0,0,0,1,0,1,0
9000,92670,2002,0,1,0,0,0,0,0,0,0,1,1,0
50995,12726,2013,0,0,1,0,1,0,0,0,0,0,1,1
21994,99493,2007,0,0,1,0,0,0,1,0,1,0,0,0
33998,118884,2009,0,0,1,0,0,0,0,1,1,0,0,0
55898,13897,2013,0,0,1,0,0,0,0,0,0,0,1,1
16991,101182,2005,1,0,0,0,1,0,1,0,0,1,0,0
11999,98073,2005,0,1,0,0,0,1,0,0,0,1,0,0
54900,10010,2012,0,0,1,0,1,0,1,0,0,0,0,1
47800,71494,2009,0,0,0,1,0,0,0,1,0,1,0,0
37995,62574,2011,0,0,1,0,1,0,0,0,1,0,1,0
20000,106035,2007,0,0,1,0,0,1,0,0,1,0,0,0
34990,59303,2008,0,0,1,0,0,0,0,1,1,0,0,0
74991,14319,2013,0,0,1,0,0,0,0,0,0,0,1,1
14990,70000,2004,0,1,0,0,0,0,1,0,0,1,0,0
46994,21356,2011,0,0,1,0,0,0,0,0,1,0,1,0
23917,80082,2007,0,0,1,0,0,0,0,0,1,0,1,0
32888,83768,2008,0,0,1,0,0,0,0,1,1,0,0,0
11000,70031,2001,0,1,0,0,1,0,1,0,0,1,0,0
4995,182000,2000,1,0,0,0,0,0,0,0,0,1,1,0
31991,53543,2007,0,0,1,0,0,0,0,0,1,0,1,0
64991,28210,2012,0,0,1,0,0,0,1,0,0,0,0,1
32996,20274,2010,0,0,1,0,0,1,0,0,1,0,0,0
27955,75220,2007,0,0,1,0,1,1,0,0,1,0,0,0
7995,134605,2003,0,0,0,1,0,0,0,0,1,0,1,0
36900,35452,2010,0,0,0,1,0,0,0,1,0,1,0,0
33491,62767,2009,0,0,1,0,0,0,0,0,1,0,1,0
14900,40085,2002,0,0,0,1,0,0,0,0,0,1,1,0
